Id,GRID_ID,ORIG_FID,NEAR_FID,NEAR_DIST,NEAR_FC
120461,VX-925,21097,68,9426.545627247849552,USAWaterBodies_Projected_4counties
120462,VY-925,21098,68,10283.688916096023604,USAWaterBodies_Projected_4counties
120463,VZ-925,21099,68,11164.453641940575835,USAWaterBodies_Projected_4counties
120464,WA-925,21100,68,12063.821638396520939,USAWaterBodies_Projected_4counties
120465,WB-925,21101,68,12977.925871380532044,USAWaterBodies_Projected_4counties
120466,WC-925,21102,68,13903.860159072806709,USAWaterBodies_Projected_4counties
120467,WD-925,21103,66,14585.725338092193851,USAWaterBodies_Projected_4counties
120468,WE-925,21104,66,14041.971401418948517,USAWaterBodies_Projected_4counties
120469,WF-925,21105,66,13550.296603331995357,USAWaterBodies_Projected_4counties
120470,WG-925,21106,66,13116.558818465822696,USAWaterBodies_Projected_4counties
120471,WH-925,21107,66,12746.673779393451696,USAWaterBodies_Projected_4counties
120472,WI-925,21108,66,12446.335590778495316,USAWaterBodies_Projected_4counties
120473,WJ-925,21109,66,12220.672929028190993,USAWaterBodies_Projected_4counties
120474,WK-925,21110,71,11391.660253365978861,USAWaterBodies_Projected_4counties
120475,WL-925,21111,71,10551.737161629816910,USAWaterBodies_Projected_4counties
